ダウンロードした時刻：2021/01/10 19:36:41

,,,長野,長野,長野
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,,品質情報,均質番号
1900,1,1,-0.6,8,1
1900,1,2,-2.2,8,1
1900,1,3,-2.1,8,1
1900,1,4,-2.1,8,1
1900,1,5,-2.0,8,1
1900,1,6,-1.8,8,1
1900,1,7,-2.3,8,1
1900,1,8,-2.8,8,1
1900,1,9,-3.4,8,1
1900,1,10,-0.9,8,1
1900,1,11,0.8,8,1
1900,1,12,-1.9,8,1
1900,1,13,-1.8,8,1
1900,1,14,-0.7,8,1
1900,1,15,-2.3,8,1
1900,1,16,-4.0,8,1
1900,1,17,-4.4,8,1
1900,1,18,-5.7,8,1
1900,1,19,-2.2,8,1
1900,1,20,-0.4,8,1
1900,1,21,-1.1,8,1
1900,1,22,-0.4,8,1
1900,1,23,-1.6,8,1
1900,1,24,-4.1,8,1
1900,1,25,-6.9,8,1
1900,1,26,-8.8,8,1
1900,1,27,-8.4,8,1
1900,1,28,-5.3,8,1
1900,1,29,-0.5,8,1
1900,1,30,-1.7,8,1
1900,1,31,-2.5,8,1
1900,2,1,-2.9,8,1
1900,2,2,-4.5,8,1
1900,2,3,-0.4,8,1
1900,2,4,-1.8,8,1
1900,2,5,-3.4,8,1
1900,2,6,-5.9,8,1
1900,2,7,-7.2,8,1
1900,2,8,-7.1,8,1
1900,2,9,-5.8,8,1
1900,2,10,-2.3,8,1
1900,2,11,-3.7,8,1
1900,2,12,-5.0,8,1
1900,2,13,-4.1,8,1
1900,2,14,-1.5,8,1
1900,2,15,-2.3,8,1
1900,2,16,-4.5,8,1
1900,2,17,-2.9,8,1
1900,2,18,0.7,8,1
1900,2,19,0.5,8,1
1900,2,20,1.0,8,1
1900,2,21,-1.1,8,1
1900,2,22,-2.8,8,1
1900,2,23,-3.2,8,1
1900,2,24,-4.1,8,1
1900,2,25,-2.2,8,1
1900,2,26,0.1,8,1
1900,2,27,-0.2,8,1
1900,2,28,-0.3,8,1
1900,3,1,1.0,8,1
1900,3,2,5.3,8,1
1900,3,3,2.2,8,1
1900,3,4,0.8,8,1
1900,3,5,0.8,8,1
1900,3,6,3.3,8,1
1900,3,7,2.1,8,1
1900,3,8,-0.2,8,1
1900,3,9,-0.9,8,1
1900,3,10,2.1,8,1
1900,3,11,-0.2,8,1
1900,3,12,-3.0,8,1
1900,3,13,-1.0,8,1
1900,3,14,0.6,8,1
1900,3,15,2.8,8,1
1900,3,16,0.9,8,1
1900,3,17,-0.1,8,1
1900,3,18,-0.8,8,1
1900,3,19,-0.7,8,1
1900,3,20,1.0,8,1
1900,3,21,3.4,8,1
1900,3,22,3.7,8,1
1900,3,23,4.0,8,1
1900,3,24,5.4,8,1
1900,3,25,6.9,8,1
1900,3,26,4.6,8,1
1900,3,27,5.6,8,1
1900,3,28,3.3,8,1
1900,3,29,0.6,8,1
1900,3,30,4.5,8,1
1900,3,31,7.7,8,1
1900,4,1,10.4,8,1
1900,4,2,10.1,8,1
1900,4,3,4.9,8,1
1900,4,4,5.8,8,1
1900,4,5,9.9,8,1
1900,4,6,15.3,8,1
1900,4,7,9.7,8,1
1900,4,8,4.3,8,1
1900,4,9,4.7,8,1
1900,4,10,6.9,8,1
1900,4,11,12.4,8,1
1900,4,12,15.9,8,1
1900,4,13,6.3,8,1
1900,4,14,4.9,8,1
1900,4,15,6.6,8,1
1900,4,16,9.1,8,1
1900,4,17,11.0,8,1
1900,4,18,13.2,8,1
1900,4,19,15.1,8,1
1900,4,20,11.5,8,1
1900,4,21,9.7,8,1
1900,4,22,6.6,8,1
1900,4,23,7.1,8,1
1900,4,24,10.5,8,1
1900,4,25,10.6,8,1
