ダウンロードした時刻：2020/12/31 20:23:30

,,,長野,長野,長野
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,,品質情報,均質番号
1900,6,1,16.3,8,1
1900,6,2,16.3,8,1
1900,6,3,17.0,8,1
1900,6,4,19.0,8,1
1900,6,5,19.9,8,1
1900,6,6,16.9,8,1
1900,6,7,17.5,8,1
1900,6,8,18.3,8,1
1900,6,9,20.5,8,1
1900,6,10,21.1,8,1
1900,6,11,16.6,8,1
1900,6,12,17.4,8,1
1900,6,13,18.8,8,1
1900,6,14,16.9,8,1
1900,6,15,14.1,8,1
1900,6,16,15.6,8,1
1900,6,17,16.2,8,1
1900,6,18,16.2,8,1
1900,6,19,18.1,8,1
1900,6,20,19.7,8,1
1900,6,21,20.5,8,1
1900,6,22,19.9,8,1
1900,6,23,19.4,8,1
1900,6,24,21.8,8,1
1900,6,25,19.9,8,1
1900,6,26,20.0,8,1
1900,6,27,19.1,8,1
1900,6,28,17.5,8,1
1900,6,29,17.5,8,1
1900,6,30,17.3,8,1
1900,7,1,18.4,8,1
1900,7,2,20.0,8,1
1900,7,3,21.4,8,1
1900,7,4,22.7,8,1
1900,7,5,22.3,8,1
1900,7,6,22.1,8,1
1900,7,7,21.4,8,1
1900,7,8,20.6,8,1
1900,7,9,20.8,8,1
1900,7,10,22.4,8,1
1900,7,11,23.1,8,1
1900,7,12,18.6,8,1
1900,7,13,21.4,8,1
1900,7,14,23.2,8,1
1900,7,15,21.2,8,1
1900,7,16,19.7,8,1
1900,7,17,19.9,8,1
1900,7,18,19.2,8,1
1900,7,19,20.8,8,1
1900,7,20,22.8,8,1
1900,7,21,19.5,8,1
1900,7,22,22.1,8,1
1900,7,23,22.3,8,1
1900,7,24,23.0,8,1
1900,7,25,24.3,8,1
1900,7,26,25.5,8,1
1900,7,27,25.3,8,1
1900,7,28,24.7,8,1
1900,7,29,25.2,8,1
1900,7,30,25.2,8,1
1900,7,31,24.5,8,1
1900,8,1,24.0,8,1
1900,8,2,23.0,8,1
1900,8,3,25.0,8,1
1900,8,4,25.7,8,1
1900,8,5,25.9,8,1
1900,8,6,26.6,8,1
1900,8,7,26.1,8,1
1900,8,8,24.5,8,1
1900,8,9,25.2,8,1
1900,8,10,25.6,8,1
1900,8,11,26.0,8,1
1900,8,12,24.5,8,1
1900,8,13,22.8,8,1
1900,8,14,24.4,8,1
1900,8,15,25.6,8,1
1900,8,16,26.6,8,1
1900,8,17,28.0,8,1
1900,8,18,26.3,8,1
1900,8,19,29.0,8,1
1900,8,20,25.4,8,1
1900,8,21,25.8,8,1
1900,8,22,27.0,8,1
1900,8,23,26.8,8,1
1900,8,24,28.2,8,1
1900,8,25,28.8,8,1
1900,8,26,27.9,8,1
1900,8,27,25.3,8,1
1900,8,28,23.9,8,1
1900,8,29,22.9,8,1
1900,8,30,22.9,8,1
1900,8,31,22.4,8,1
1900,9,1,22.8,8,1
1900,9,2,23.0,8,1
1900,9,3,25.1,8,1
1900,9,4,25.0,8,1
1900,9,5,23.2,8,1
1900,9,6,21.2,8,1
1900,9,7,20.8,8,1
1900,9,8,22.8,8,1
1900,9,9,20.4,8,1
1900,9,10,19.7,8,1
1900,9,11,21.3,8,1
1900,9,12,22.3,8,1
1900,9,13,25.2,8,1
1900,9,14,21.2,8,1
1900,9,15,19.1,8,1
1900,9,16,16.2,8,1
1900,9,17,16.7,8,1
1900,9,18,18.7,8,1
1900,9,19,23.1,8,1
1900,9,20,22.9,8,1
1900,9,21,22.4,8,1
1900,9,22,24.5,8,1
1900,9,23,20.8,8,1
1900,9,24,19.3,8,1
1900,9,25,18.8,8,1
1900,9,26,20.4,8,1
1900,9,27,18.6,8,1
1900,9,28,14.0,8,1
